,0
412,CHD4
413,HCST
414,CMC1
415,IGHM
416,TIMP1
417,SCGB3A1
418,WFDC2
419,LCN2
420,S100A8
421,S100A9
422,LY96
423,BPIFA1
424,S100A11
425,HLA-DOB
426,CXCL8
427,IL2RG
428,TAGAP
429,BPIFB1
430,CTHRC1
431,AGR2
432,CSF3R
433,IFITM2
434,SLPI
435,FOSB
436,FTH1P10
437,G0S2
438,RGCC
439,TMEM190
440,NME4
441,HLA-DMA
442,IGLV3-1
443,S100P
444,C3
445,S100A2
446,SYNGR1
447,TFF3
448,QPRT
449,BRSK1
450,TSPAN13
451,SERPINA1
452,LINC02362
453,AC144530.1
454,GPR183
455,KRT17
456,SMIM25
457,SCNN1B
458,HSPA1A
459,PRR34-AS1
460,CERCAM
461,LY9
462,SERPINB9
463,AC058791.1
464,SIK1
465,TAPBPL
466,KDELR3
467,PTP4A3
468,JSRP1
469,FCGRT
470,CD177
471,IGFLR1
472,IGLV6-57
473,GADD45A
474,PAIP2B
475,CPQ
476,SERPINI1
477,KRT19
478,LST1
479,HSPB1
480,MIR155HG
481,COPZ2
482,TCN2
483,AC104699.1
484,AC074212.1
485,PFKFB3
486,STAP1
487,ADAM28
488,TNFAIP2
489,MIAT
490,DNAAF1
491,AC016831.5
492,BCL2
493,AC103591.3
494,IL5RA
495,SRD5A3
496,WNT10A
497,AIG1
498,SMPDL3B
499,CST3
500,BCL2A1
501,CYSTM1
502,QPCT
503,LMF1
504,HSPA1B
505,CFL2
506,FAM27C
507,TSC22D1
508,ATF3
509,WNT5B
510,ICAM1
511,PGGHG
512,CD9
513,GLUL
514,AL109918.1
515,IFITM3
516,ATAD3C
517,S100A12
518,CD40
519,TMEM56
520,LTC4S
521,THAP2
522,STARD5
523,IQCG
524,TMX4
525,ATP1B1
526,LYZ
527,LINC00513
528,IGHM
529,TMEM140
530,F8A1
531,MDK
532,AL365361.1
533,SLC2A3
534,CFAP54
535,IGHGP
536,SLAMF1
537,TMEM45A
538,PLAUR
539,ANKH
540,IGHD
541,S100A9
542,CD52
543,PTPRC
544,COTL1
545,HBA2
546,ARPC1B
547,LCP1
548,RIPOR2
549,S100A10
550,HBA1
551,S100A6
552,HBB
553,LIMD2
554,FLNA
555,HLA-DRB1
556,MYH9
557,TRAF3IP3
558,LAPTM5
559,S100A4
560,RASGRP2
561,CRIP1
562,S1PR4
563,ZFAS1
564,PSMA2
565,CNN2
566,IQGAP2
567,ARPC4
568,TPP2
569,FABP5
570,ROCK1
571,HLA-DPB1
572,LBR
573,AHNAK
574,P2RX5
575,SNRPD3
576,ARHGAP30
577,ADD3
578,CELF2
579,C9orf78
580,MRPL12
581,ITGB7
582,TFRC
583,HLA-DRA
584,SNHG3
585,MTPN
586,S100A8
587,LRRFIP1
588,C12orf75
589,HLA-DPA1
590,LIMS1
591,CD37
592,SNHG25
593,GAS5
594,SPN
595,NBEAL1
596,ENTPD1
597,PSMC1
598,GRK2
599,UBXN1
600,PCM1
601,NT5C
602,H2AFY
603,DBNL
604,TNFRSF13B
605,MACF1
606,SEMA4A
607,FUBP1
608,ARL4C
609,CCT5
610,AIMP1
611,PTPN6
612,PRKCB
613,STXBP2
614,PPP4R3A
