,0
404,SEPT6
405,LPCAT2
406,R3HDM4
407,ENTPD1
408,MMP14
409,EIF1AY
410,ABI3
411,RGS1
412,AMPD2
413,HLA-DQA2
414,GK-IT1
415,CSRNP1
416,FADS1
417,LPAR6
418,ADAM8
419,CXCL1
420,PRKCB
421,PSMB10
422,OSM
423,RNASE2
424,LENG8
425,FCN1
426,SLC1A4
427,CYTIP
428,GPR35
429,PIM1
430,JAML
431,LSP1
432,SLC7A5
433,EREG
434,LIMD2
435,SLAMF7
436,HDGF
437,PLEKHO1
438,SLC25A37
439,NCF1C
440,CEACAM4
441,CCDC69
442,H1F0
443,KLHL5
444,GPR160
445,LPCAT1
446,TTC19
447,DNMT1
448,CYTH4
449,SGPL1
450,BCL3
451,PTPN7
452,ENPP2
453,CTNND1
454,EDEM1
455,CD300A
456,PRKCA
457,SREBF1
458,AOAH
459,MAP3K1
460,ODF3B
461,SOX4
462,CHST2
463,RB1
464,LFNG
465,CHD4
466,CIITA
467,NAAA
468,NFIL3
469,QSOX1
470,ITPR2
471,SLC4A7
472,S100B
473,SLC20A1
474,SFT2D2
475,GABARAP
476,MTHFR
477,SBNO2
478,HIC1
479,TENT4B
480,ARF5
481,VASH1
482,ORAI2
483,SPATA13
484,ARHGAP45
485,NRARP
486,YIF1B
487,CAMK1
488,TXLNGY
489,STAB1
490,RPL22P1
491,FAM53C
492,AREG
493,ANP32E
494,AMPD3
495,LMBR1L
496,NAGA
497,MEF2D
498,CLEC4A
499,PRMT9
500,ETV3
501,RELT
502,FAM20A
503,STAT2
504,LMO4
505,CD93
506,SNAI1
507,MID1IP1
508,PBX2
509,PAK1
510,PTGS1
511,SEMA6B
512,AC004687.1
513,DOCK5
514,C1orf56
515,HNRNPL
516,MKNK1
517,ARHGAP9
518,LILRA1
519,SRA1
520,VOPP1
521,NLRP3
522,PSMA2
523,SSBP4
524,DAZAP1
525,AC104695.4
526,DOCK10
527,PCNX1
528,SORL1
529,ST8SIA4
530,PTPRJ
531,H3F3AP4
532,SEC14L1
533,NUP58
534,CPPED1
535,NARF
536,RCC2
537,CCDC85B
538,ATXN1
539,HRH2
540,TCF4
541,FCGR1A
542,AC016831.5
543,CLN8
544,SESN2
545,TAF10
546,CD69
547,ZNF385A
548,RPL17
549,LRRC25
550,THAP9-AS1
551,ADAMDEC1
552,ASGR1
553,FAM110A
554,GNL3L
555,DUSP2
556,LDLR
557,RASSF3
558,ACSL4
559,TMC8
560,GPRIN3
561,TRIM8
562,SPINT2
563,FPR3
564,RFLNB
565,LMNB1
566,IL4R
567,RFTN1
568,CHST11
569,RASAL3
570,TUBA4A
571,HES4
572,SSH1
573,VCAN
574,CHCHD7
575,LBR
576,AC016876.2
577,NBEAL2
578,ZC3H12A
579,CDC42SE2
580,RBM38
581,SLC35E1
582,ACAP1
583,INAFM2
584,NFKBIE
585,ZMYM2
586,KHSRP
587,TLE3
588,BAK1
589,FAM129A
590,NBEAL1
591,CDKN1C
592,AC116533.1
593,HK1
594,HEBP2
595,SNRPD3
596,HPSE
597,MED13L
598,NOTCH1
599,GBP4
600,RNF114
601,RN7SL368P
602,ELMSAN1
603,SLC25A39
604,MAFK
605,TAP1
606,CSF2RB
607,AP000769.1
608,BCL2L11
609,PTDSS1
610,SIPA1
611,TMCC3
612,GLA
613,RNF145
614,LIMK2
615,GPR132
616,FKBP2
617,KDM5B
618,BAZ2A
619,GAK
620,ANKRD13A
621,OTULINL
622,ITPR1
623,ICOSLG
624,ATG2A
625,INPP5D
626,GANAB
627,DOK3
628,SLC12A7
629,RALGDS
630,ZMIZ1
631,AC103591.3
632,RARRES3
633,ARID5A
634,A2M
635,TMPO
636,NDUFV2
637,MIR4435-2HG
638,ALDOA
639,CLEC10A
640,DAGLB
641,GNA15
642,MIR181A1HG
643,SEMA4D
644,CORO7
645,ATF6B
646,CREB5
647,MYO1G
648,GBP2
649,HES1
650,NXT1
651,ACER3
652,RALA
653,LRMP
654,PCSK7
655,TAX1BP3
656,ACLY
657,ANKRD13D
658,TMEM256
659,ST6GAL1
660,TNFSF10
661,AC010997.6
662,SERTAD3
663,SNX18
664,MNT
665,MAD2L2
666,KDM2A
667,SLC30A1
668,TSC22D4
669,YPEL2
670,CARM1
671,PPM1F
672,VPS9D1
673,SASH3
674,ZNF791
675,AC021078.1
676,SNHG3
677,NDEL1
678,NCKAP5L
679,B4GALT5
680,ITGAV
681,INPP4A
682,CARD19
683,PRKAR2A
684,POU2F2
685,GSDMD
686,GNA12
687,ARID3A
688,ELOVL5
689,DGAT1
690,TMEM51
691,CNOT6L
692,LILRB4
